Question,Answer,KEY,ROWS
Let w(q) = 440*q + 56636. Determine w(-128).,316,,
Let l(f) = -710*f**2 + 2459*f - 977. Give l(3).,10,,
Let r(h) = -3249*h - 3182. Determine r(-1).,67,,
Let u(a) = a**3 + 47*a**2 - 122*a - 11227. Determine u(-44).,-51,,
Let c(u) = -2187*u - 59070. Give c(-27).,-21,,
Let h(r) = 5045*r**2 - 3*r + 6. Give h(1).,5048,,
Two letters picked without replacement from uxjqxjjqxuxqx. What is prob of sequence xj?,5/52,,
Two letters picked without replacement from cccadcdaddd? What is prob of sequence dd?,2/11,,
Four letters picked without replacement from xiixixxxxx. What is prob of sequence iiix?,1/120,,
Three letters picked without replacement from hddkhdchshzshhsckddd. What is prob of sequence ddz?,1/228,,
Four letters picked without replacement from mejmhhhxxmmmk. What is prob of sequence khxm?,1/572,,
Three letters picked without replacement from fzpvf. What is prob of sequence pvz?,1/60,,
Three letters picked without replacement from vrtr. Give prob of sequence rtr.,1/12,,
Four letters picked without replacement from fdfddadfafadadada. Give prob of sequence dfda.,3/170,,
Three letters picked without replacement from amamaauuuhuuauuuuhau. Give prob of sequence amu.,1/57,,
Three letters picked without replacement from rtvkkevktrreqtrevr. What is prob of sequence kvv?,1/272,,
"Points P and Q have coordinates (-1,4) and (4,7) respectively. Find an equation for the straight line passing through points P and Q. Give your answer in the form ax+by+c=0, where a, b and c are integers",3x-5y+23=0,,
The line has equation 10x-2y+7=0. Find the gradient of the line.,5,,
"Sketch the curve with equation 2 yx x  6 11, showing clearly any intersections with the coordinate axes.",nil,,
The curve C has equation 3/x and the line l has equation y = 2x + 5. Find the coordinates of the points of intersection of C and l.,"(-3,-1) and(0.5,6)",,
The point A lies on both y = x (4 – x) and y = x^2 (7 – x) and the x and y coordinates of A are both positive. Find the exact coordinates of A.,"4-2 sqr 3, -12+8 sqr 3",,
Find the coordinates of the points of intersection of y = -2/x − 5 and y = 4x+2,"(-2,-6) and (0.25, 3)",,
"The line l1 passes through the point (9, –4) and has gradient 1/3. The line l2 passes through the origin O and has gradient –2. The lines l1 and l2 intersect at the point P. Calculate the coordinates of P","(3,-6)",,
"The curve C has equation y = x^3/3 − 4x^2 + 8x+3. The point P has coordinates (3, 0). Find the equation of the tangent to C at P, giving your answer in the form y = mx + c, where m and c are constants.",y = -7x+21,,
"The line L has equation y = 5 – 2x. Find an equation of the line perpendicular to L, which passes through P. Give your answer in the form ax + by + c = 0, where a, b and c are integers.",x - 2y -5 =0,,
"Figure 2 shows part of the curve C with equation y = (x – 1)(x^2 – 4). The curve cuts the x-axis at the points P, (1, 0) and Q, as shown in Figure 2. (a) Write down the x-coordinate of P, and the x-coordinate of Q","-2,2",,
